CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been used,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream
10/6/23 15:41,Hultine_Populus_23,38,1,,3240,3240,-0.973,4.07E-05,0.3748088,0.011023,-79.33,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0734,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.008455583,0.000667145,0.000124593,0.996815752,0.0001,2.82E-05,5.99,2.29,1,2036;3991;5943;7899;9851;11809;13755;15710;17664;19618;21566;23523;,181;178;176;172;169;167;165;162;160;156;154;151;,4.900575;4.81935;4.7652;4.6569;4.575675;4.521525;4.467375;4.38615;4.332;4.2237;4.16955;4.088325;,5.99;,2.29;
10/6/23 15:42,Hultine_Populus_23,38,1,,3240,3240,-0.973,3.95E-05,0.3639086,0.031251,-74.12,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0734,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.008209677,0.001732331,0.000353244,0.990479358,0.0001,2.82E-05,5.99,2.29,1,2050;4004;5957;7921;9861;11823;13768;15720;17678;19625;21580;23532;,95;93;92;92;89;88;87;85;84;82;81;80;,2.572125;2.517975;2.4909;2.4909;2.409675;2.3826;2.355525;2.301375;2.2743;2.22015;2.193075;2.166;,5.99;,2.29;
10/6/23 15:42,Hultine_Populus_23,38,1,,3240,3240,-0.973,3.95E-05,0.3639086,0.031251,-74.12,bad,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0734,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.008209677,0.001732331,0.000353244,0.990479358,0.0001,2.82E-05,5.99,2.29,1,2050;4004;5957;7921;9861;11823;13768;15720;17678;19625;21580;23532;,95;93;92;92;89;88;87;85;84;82;81;80;,2.572125;2.517975;2.4909;2.4909;2.409675;2.3826;2.355525;2.301375;2.2743;2.22015;2.193075;2.166;,5.99;,2.29;
10/6/23 15:42,Hultine_Populus_23,38,1,,3240,3240,-0.973,4.01E-05,0.3692984,0.053437,-76.7,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0734,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00833127,0.001302882,0.000604019,0.984306462,0.0001,2.82E-05,5.99,2.29,1,2043;3997;5950;7903;9855;11811;13774;15716;17671;19620;21573;23542;,186;184;181;178;174;172;170;163;164;162;159;157;,5.03595;4.9818;4.900575;4.81935;4.71105;4.6569;4.60275;4.413225;4.4403;4.38615;4.304925;4.250775;,5.99;,2.29;
10/6/23 15:45,Hultine_Populus_23,38,1,,3640,3640,-1.228,3.73E-05,0.34423,0.028035,-64.7,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0926,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.009801561,0.003801431,0.000399966,0.992426662,0.0001,2.82E-05,5.99,2.29,1,2047;4009;5965;7907;9856;11811;13774;15730;17687;19624;21587;23531;,132;130;128;125;123;121;118;117;114;110;110;108;,3.5739;3.51975;3.4656;3.384375;3.330225;3.276075;3.19485;3.167775;3.08655;2.97825;2.97825;2.9241;,5.99;,2.29;
10/6/23 15:46,Hultine_Populus_23,38,1,,3640,3640,-1.228,3.68E-05,0.3393655,0.003875,-62.38,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0926,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00966305,0.001135062,5.53E-05,0.998915552,0.0001,2.82E-05,5.99,2.29,1,2057;4007;5958;7907;9871;11809;13763;15718;17681;19621;21588;23535;,188;185;181;178;175;172;169;165;162;159;156;154;,5.0901;5.008875;4.900575;4.81935;4.738125;4.6569;4.575675;4.467375;4.38615;4.304925;4.2237;4.16955;,5.99;,2.29;
10/6/23 15:46,Hultine_Populus_23,38,1,,3640,3640,-1.228,3.75E-05,0.3453799,0.013143,-65.25,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0926,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.009834303,0.005923199,0.000187513,0.993886643,0.0001,2.82E-05,5.99,2.29,1,2039;3992;5945;7908;9850;11806;13765;15721;17677;19630;,140;139;136;133;131;127;126;123;121;119;,3.7905;3.763425;3.6822;3.600975;3.546825;3.438525;3.41145;3.330225;3.276075;3.221925;,5.99;,2.29;
10/6/23 15:47,Hultine_Populus_23,38,1,,4040,4040,-1.512,3.65E-05,0.3369133,0.002513,-61.2,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1141,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.011817476,0.002307231,4.42E-05,0.998996211,0.0001,2.82E-05,5.99,2.29,1,2040;4008;5947;7910;9863;11807;13770;15713;17678;19619;,187;184;179;175;171;167;164;160;156;153;,5.063025;4.9818;4.846425;4.738125;4.629825;4.521525;4.4403;4.332;4.2237;4.142475;,5.99;,2.29;
10/6/23 15:47,Hultine_Populus_23,38,1,,4040,4040,-1.512,3.68E-05,0.3392504,0.014488,-62.32,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1141,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.011899452,-0.005559414,0.000254612,0.994313108,0.0001,2.82E-05,5.99,2.29,1,2046;4000;5953;7906;9858;11810;13766;15721;17661;19613;,189;183;179;176;171;168;164;161;155;154;,5.117175;4.954725;4.846425;4.7652;4.629825;4.5486;4.4403;4.359075;4.196625;4.16955;,5.99;,2.29;
10/6/23 15:48,Hultine_Populus_23,38,1,,4040,4040,-1.512,3.64E-05,0.3355974,0.002138,-60.57,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1141,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.011771318,-0.00351005,3.76E-05,0.999139713,0.0001,2.82E-05,5.99,2.29,1,2049;4014;5963;7905;9859;11824;13770;15733;17687;19634;,187;182;178;174;170;166;163;159;156;152;,5.063025;4.92765;4.81935;4.71105;4.60275;4.49445;4.413225;4.304925;4.2237;4.1154;,5.99;,2.29;
10/6/23 15:49,Hultine_Populus_23,38,1,,4330,4330,-1.737,3.69E-05,0.3399014,0.003756,-62.63,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.01369533,0.002335782,7.58E-05,0.998717307,0.0001,2.82E-05,5.99,2.29,1,2037;3998;5946;7903;9860;11813;13766;15708;17669;19622;,186;181;178;172;168;164;159;155;151;147;,5.03595;4.900575;4.81935;4.6569;4.5486;4.4403;4.304925;4.196625;4.088325;3.980025;,5.99;,2.29;
10/6/23 15:49,Hultine_Populus_23,38,1,,4330,4330,-1.737,3.50E-05,0.3228975,0.00288,-54.5,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.013010207,0.001356237,5.81E-05,0.99891039,0.0001,2.82E-05,5.99,2.29,1,2057;4013;5952;7905;9871;11814;13765;15731;17685;19637;,186;182;177;173;169;164;160;157;152;149;,5.03595;4.92765;4.792275;4.683975;4.575675;4.4403;4.332;4.250775;4.1154;4.034175;,5.99;,2.29;
10/6/23 15:50,Hultine_Populus_23,38,1,,4330,4330,-1.737,3.62E-05,0.3336022,0.004789,-59.62,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.013441525,3.41E-05,9.67E-05,0.998301445,0.0001,2.82E-05,5.99,2.29,1,2063;4003;5966;7922;9871;11814;13782;15720;17687;19628;,186;182;177;172;167;163;159;156;151;148;,5.03595;4.92765;4.792275;4.6569;4.521525;4.413225;4.304925;4.2237;4.088325;4.0071;,5.99;,2.29;
10/6/23 15:51,Hultine_Populus_23,38,1,,4630,4630,-1.986,3.41E-05,0.3144677,0.004962,-50.46,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.014487112,-0.001121144,0.000114541,0.998269193,0.0001,2.82E-05,5.99,2.29,1,2035;4001;5941;7895;9847;11800;13753;15707;17661;19626;,184;179;174;169;165;159;155;151;147;144;,4.9818;4.846425;4.71105;4.575675;4.467375;4.304925;4.196625;4.088325;3.980025;3.8988;,5.99;,2.29;
10/6/23 15:52,Hultine_Populus_23,38,1,,4630,4630,-1.986,3.51E-05,0.3237896,0.01073,-54.92,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.014916558,0.000662709,0.000247674,0.996474825,0.0001,2.82E-05,5.99,2.29,1,2046;3989;5941;7907;9862;11803;13763;15706;17673;19614;,186;183;175;170;165;161;157;153;148;144;,5.03595;4.954725;4.738125;4.60275;4.467375;4.359075;4.250775;4.142475;4.0071;3.8988;,5.99;,2.29;
