CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been usedDate_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream,
11/2/2023 12:14:46 PM,HULTINE Populus,49.3,1,,3230,3230,-0.967,8.19E-05,1.0281666,0.010876,-21.69,,a,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0153209199810356,-0.0011089601150325,8.12014299437653E-05,0.998142710036152,0.0001,2.07E-05,5.135,2.4075,1,1567;3066;4568;6066;7578;9067;10578;12068;13573;15080;,186;181;178;173;170;166;163;159;155;151;,5.03595;4.900575;4.81935;4.683975;4.60275;4.49445;4.413225;4.304925;4.196625;4.088325;,5.135;,2.4075;,
11/2/2023 12:15:12 PM,HULTINE Populus,49.3,1,,3230,3230,-0.967,8.15E-05,1.0240912,0.010295,-21.21,,a,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0152601912337075,-0.00458659841570135,7.68665049278361E-05,0.998225387212472,0.0001,2.07E-05,5.135,2.4075,1,1566;3066;4566;6074;7565;9068;10565;12078;13569;15063;,187;182;178;173;170;166;163;159;156;152;,5.063025;4.92765;4.81935;4.683975;4.60275;4.49445;4.413225;4.304925;4.2237;4.1154;,5.135;,2.4075;,
11/2/2023 12:15:37 PM,HULTINE Populus,49.3,1,,3230,3230,-0.967,7.94E-05,0.9976513,0.011992,-18.08,,a,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0148662044801939,0.000672396804777853,8.9535928717192E-05,0.997822222610812,0.0001,2.07E-05,5.135,2.4075,1,1568;3063;4563;6063;7563;9076;10563;12063;13565;15065;,186;182;178;174;171;168;163;159;156;153;,5.03595;4.92765;4.81935;4.71105;4.629825;4.5486;4.413225;4.304925;4.2237;4.142475;,5.135;,2.4075;,
11/2/2023 12:17:02 PM,HULTINE Populus,49.3,1,,3630,3630,-1.221,8E-05,1.0050238,0.005906,-18.95,,b,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0189149795623964,-0.000811041865978779,5.56937022875707E-05,0.999161081919009,0.0001,2.07E-05,5.135,2.4075,1,1578;3080;4580;6071;7567;9070;10580;12070;13573;15069;,185;180;175;170;165;160;157;152;148;144;,5.008875;4.8735;4.738125;4.60275;4.467375;4.332;4.250775;4.1154;4.0071;3.8988;,5.135;,2.4075;,
11/2/2023 12:17:23 PM,HULTINE Populus,49.3,1,,3630,3630,-1.221,7.74E-05,0.9722634,0.006019,-15.08,,b,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0182984157710517,0.00114814128451583,5.6762681424822E-05,0.998745828096612,0.0001,2.07E-05,5.135,2.4075,1,1572;3074;4572;6073;7569;9072;10573;12071;13574;,184;180;174;170;165;161;157;153;148;,4.9818;4.8735;4.71105;4.60275;4.467375;4.359075;4.250775;4.142475;4.0071;,5.135;,2.4075;,
11/2/2023 12:17:47 PM,HULTINE Populus,49.3,1,,3630,3630,-1.221,7.78E-05,0.9774712,0.007702,-15.69,,b,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0183964286626062,-0.00159722051671345,7.26309250653972E-05,0.998843954267395,0.0001,2.07E-05,5.135,2.4075,1,1569;3072;4581;6083;7571;9067;10567;12069;13568;15070;,184;178;175;169;165;160;156;152;148;144;,4.9818;4.81935;4.738125;4.575675;4.467375;4.332;4.2237;4.1154;4.0071;3.8988;,5.135;,2.4075;,
11/2/2023 12:19:12 PM,HULTINE Populus,49.3,1,,4030,4030,-1.505,7.48E-05,0.9396647,0.003987,-11.22,,c,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0217971290864288,0.00231480904057615,4.63419034713231E-05,0.999474978171508,0.0001,2.07E-05,5.135,2.4075,1,1565;3067;4564;6064;7566;9066;10565;12066;13568;15067;,183;178;172;167;161;156;151;147;142;137;,4.954725;4.81935;4.6569;4.521525;4.359075;4.2237;4.088325;3.980025;3.84465;3.709275;,5.135;,2.4075;,
11/2/2023 12:19:34 PM,HULTINE Populus,49.3,1,,4030,4030,-1.505,7.5E-05,0.9416579,0.00171,-11.45,,c,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0218433651412103,-0.000183163523970054,1.98745092040892E-05,0.999775582588613,0.0001,2.07E-05,5.135,2.4075,1,1572;3069;4570;6078;7567;9069;10568;12071;13572;15068;,182;176;171;165;160;155;150;145;141;136;,4.92765;4.7652;4.629825;4.467375;4.332;4.196625;4.06125;3.925875;3.817575;3.6822;,5.135;,2.4075;,
11/2/2023 12:19:55 PM,HULTINE Populus,49.3,1,,4030,4030,-1.505,7.56E-05,0.9496809,0.004448,-12.4,,c,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0220294711111047,-0.00177123714993956,5.16936046583694E-05,0.999426631782374,0.0001,2.07E-05,5.135,2.4075,1,1581;3069;4567;6068;7568;9068;10566;12067;13573;15082;,182;176;170;165;160;154;149;145;140;136;,4.92765;4.7652;4.60275;4.467375;4.332;4.16955;4.034175;3.925875;3.7905;3.6822;,5.135;,2.4075;,
11/2/2023 12:21:06 PM,HULTINE Populus,49.3,1,,4330,4330,-1.737,7.3E-05,0.9163895,0.00937,-8.46,,d,0,0,20,1.0021,Kelly,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.02453986571314,-0.00140005871413906,0.000125725375541242,0.99887545317652,0.0001,2.07E-05,5.135,2.4075,1,1576;3065;4561;6078;7566;9060;10562;12067;13564;15066;,180;174;167;160;156;150;145;140;134;130;,4.8735;4.71105;4.521525;4.332;4.2237;4.06125;3.925875;3.7905;3.62805;3.51975;,5.135;,2.4075;,
