CAVISOFT datafile for Cavitron 1 and rotor 1. Cavisoft version 5.2.1 has been usedDate_time,Campaign_name,Sample_ref_1,Sample_ref_2,Treatment,Meas_cavispeed_rpm,Max_cavispeed_rpm,Pressure_Mpa,Raw_conductance_kg_Mpa_s,Conductivity_SI_corrT,Std_error_conductivity,PLC,Note,Speed_class,Air_temp1,Air_temp2,Temperature_used_for_correction,Temperature_correctionfactor,Operator,Rotor_number,Species,Sampling_location,Sample_type,Comment,Delta_P_MPa,Pixel_size,Meas_mode,Rotor_diameter,Conductivity_unit,Equation_slope,Equation_intercept,Equation_residue,Equation_pearsonRsquare,Reservoir_crosssection_m2,Sample_crosssection_upstream_m2,mean_diameter_big_res_mm,mean_diameter_small_res_mm,Number_of_stems,Rawdata_TIME,Rawdata_DISTANCE_pixel,Rawdata_DISTANCE_mm,Sample_diameter_rawdata_upstream,Sample_diameter_rawdata_downstream,
10/19/2023 2:23:42 PM,Hultine Cottonwood,70,1,,3230,3230,-0.967,5.07E-05,0.5803482,0.01368,-11.82,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0097287971422106,0.00160085622645011,0.000114902711192423,0.99350257944751,0.0001,2.27E-05,5.3775,3.375,1,1597;3098;4598;6096;7595;9097;10596;12096;13598;15098;,193;191;187;185;183;181;178;174;172;170;,5.225475;5.171325;5.063025;5.008875;4.954725;4.900575;4.81935;4.71105;4.6569;4.60275;,5.3775;,3.375;,
10/19/2023 2:24:06 PM,Hultine Cottonwood,70,1,,3230,3230,-0.967,5.07E-05,0.5808785,0.020598,-11.92,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00973768781433757,-0.0068707455454057,0.000173010571728847,0.990266878855523,0.0001,2.27E-05,5.3775,3.375,1,1597;3095;4594;6096;7597;9096;10598;12097;13597;15094;,154;150;148;147;144;143;140;138;136;135;,4.16955;4.06125;4.0071;3.980025;3.8988;3.871725;3.7905;3.73635;3.6822;3.655125;,5.3775;,3.375;,
10/19/2023 2:24:30 PM,Hultine Cottonwood,70,1,,3230,3230,-0.967,4.81E-05,0.5506743,0.003666,-6.1,,a,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0729,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00923135221373433,-0.00128228624984142,3.07915231042098E-05,0.998057113547346,0.0001,2.27E-05,5.3775,3.375,1,1586;3088;4590;6088;7586;9089;10586;12087;13592;15084;,172;169;167;165;163;161;158;156;154;152;,4.6569;4.575675;4.521525;4.467375;4.413225;4.359075;4.27785;4.2237;4.16955;4.1154;,5.3775;,3.375;,
10/19/2023 2:25:21 PM,Hultine Cottonwood,70,1,,3630,3630,-1.221,4.77E-05,0.5464935,0.005011,-5.3,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0115708090056775,-0.000517970072258585,5.31586333343565E-05,0.997067636376891,0.0001,2.27E-05,5.3775,3.375,1,1606;3101;4601;6103;7603;9103;10604;12101;13605;,199;196;192;189;185;183;180;176;174;,5.387925;5.3067;5.1984;5.117175;5.008875;4.954725;4.8735;4.7652;4.71105;,5.3775;,3.375;,
10/19/2023 2:25:42 PM,Hultine Cottonwood,70,1,,3630,3630,-1.221,4.59E-05,0.5257934,0.007318,-1.31,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0111325295127673,-0.00448970327839645,7.76360367168514E-05,0.995396469570809,0.0001,2.27E-05,5.3775,3.375,1,1597;3102;4597;6112;7616;9114;10614;12112;13618;,198;193;191;188;184;181;179;176;173;,5.36085;5.225475;5.171325;5.0901;4.9818;4.900575;4.846425;4.7652;4.683975;,5.3775;,3.375;,
10/19/2023 2:26:04 PM,Hultine Cottonwood,70,1,,3630,3630,-1.221,4.74E-05,0.5430709,0.002245,-4.64,,b,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.0921,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0114983438686507,0.000581271134004857,2.38172792651001E-05,0.998667580327988,0.0001,2.27E-05,5.3775,3.375,1,1601;3100;4602;6101;7604;9100;10599;12098;13606;,198;195;191;189;185;182;179;176;173;,5.36085;5.279625;5.171325;5.117175;5.008875;4.92765;4.846425;4.7652;4.683975;,5.3775;,3.375;,
10/19/2023 2:26:48 PM,Hultine Cottonwood,70,1,,4030,4030,-1.505,4.46E-05,0.5106797,0.006856,1.6,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0133267486353291,0.00605067659779823,8.96492216520102E-05,0.997288745840428,0.0001,2.27E-05,5.3775,3.375,1,1597;3099;4599;6097;7598;9097;10601;12100;13600;15098;,196;194;190;186;182;179;176;172;168;165;,5.3067;5.25255;5.14425;5.03595;4.92765;4.846425;4.7652;4.6569;4.5486;4.467375;,5.3775;,3.375;,
10/19/2023 2:27:06 PM,Hultine Cottonwood,70,1,,4030,4030,-1.505,4.4E-05,0.5041752,0.004065,2.85,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.013157006667325,-0.000306735360393773,5.31545938384792E-05,0.998348684071033,0.0001,2.27E-05,5.3775,3.375,1,1594;3090;4598;6091;7592;9091;10595;12094;13593;15094;,155;152;149;146;144;140;138;135;133;130;,4.196625;4.1154;4.034175;3.95295;3.8988;3.7905;3.73635;3.655125;3.600975;3.51975;,5.3775;,3.375;,
10/19/2023 2:27:29 PM,Hultine Cottonwood,70,1,,4030,4030,-1.505,4.49E-05,0.5141115,0.004679,0.94,,c,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1135,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0134163056505305,0.00325531881451365,6.11778949482863E-05,0.998173155912972,0.0001,2.27E-05,5.3775,3.375,1,1597;3098;4601;6099;7600;9096;10597;12101;13601;15102;,196;193;189;185;182;179;175;171;168;164;,5.3067;5.225475;5.117175;5.008875;4.92765;4.846425;4.738125;4.629825;4.5486;4.4403;,5.3775;,3.375;,
10/19/2023 2:28:20 PM,Hultine Cottonwood,70,1,,4330,4330,-1.737,4.18E-05,0.4790473,0.001323,7.7,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0144317718593314,0.000326117062826436,1.99700727011103E-05,0.999483972759479,0.0001,2.27E-05,5.3775,3.375,1,1588;3088;4588;6087;7590;9088;10591;12089;13593;15089;,194;190;186;182;178;175;171;167;164;160;,5.25255;5.14425;5.03595;4.92765;4.81935;4.738125;4.629825;4.521525;4.4403;4.332;,5.3775;,3.375;,
10/19/2023 2:28:39 PM,Hultine Cottonwood,70,1,,4330,4330,-1.737,4.14E-05,0.4744965,0.019254,8.57,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0142946751306171,0.00346829249329323,0.000290622692712421,0.992392500739732,0.0001,2.27E-05,5.3775,3.375,1,1596;3096;4599;6098;7598;9102;10593;12094;13595;15094;,149;147;143;140;138;134;133;128;127;123;,4.034175;3.980025;3.871725;3.7905;3.73635;3.62805;3.600975;3.4656;3.438525;3.330225;,5.3775;,3.375;,
10/19/2023 2:28:59 PM,Hultine Cottonwood,70,1,,4330,4330,-1.737,4.21E-05,0.4819537,0.002566,7.14,,d,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1311,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0145193319808628,0.00125820567208406,3.87272103953762E-05,0.998641065498125,0.0001,2.27E-05,5.3775,3.375,1,1600;3101;4602;6102;7599;9098;10601;12099;13603;,196;192;188;184;181;176;173;169;165;,5.3067;5.1984;5.0901;4.9818;4.900575;4.7652;4.683975;4.575675;4.467375;,5.3775;,3.375;,
10/19/2023 2:29:42 PM,Hultine Cottonwood,70,1,,4630,4630,-1.986,3.98E-05,0.4560636,0.003124,12.13,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0157091556658136,0.00163361431653795,5.39120457879587E-05,0.998824244745221,0.0001,2.27E-05,5.3775,3.375,1,1590;3088;4592;6090;7588;9090;10587;12089;13589;15089;,194;190;186;181;177;173;170;165;161;158;,5.25255;5.14425;5.03595;4.900575;4.792275;4.683975;4.60275;4.467375;4.359075;4.27785;,5.3775;,3.375;,
10/19/2023 2:30:01 PM,Hultine Cottonwood,70,1,,4630,4630,-1.986,3.94E-05,0.4515896,0.008353,12.99,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.015555051173092,0.000603288376426669,0.000144161784172353,0.99680052316366,0.0001,2.27E-05,5.3775,3.375,1,1592;3094;4596;6096;7596;9095;10591;12097;13593;15094;,145;142;138;135;133;130;126;124;120;118;,3.925875;3.84465;3.73635;3.655125;3.600975;3.51975;3.41145;3.3573;3.249;3.19485;,5.3775;,3.375;,
10/19/2023 2:30:23 PM,Hultine Cottonwood,70,1,,4630,4630,-1.986,3.99E-05,0.4564987,0.00247,12.04,,e,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1499,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0157241460117887,0.000631686259092312,4.26254773525172E-05,0.99907232193905,0.0001,2.27E-05,5.3775,3.375,1,1595;3100;4598;6099;7598;9097;10599;12098;13599;15099;,194;190;185;181;177;173;169;165;162;157;,5.25255;5.14425;5.008875;4.900575;4.792275;4.683975;4.575675;4.467375;4.38615;4.250775;,5.3775;,3.375;,
10/19/2023 2:31:05 PM,Hultine Cottonwood,70,1,,4930,4930,-2.252,3.76E-05,0.4307686,0.00885,17,,f,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1699,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0168229958991215,0.00242973332328369,0.000173174732714594,0.996714898438025,0.0001,2.27E-05,5.3775,3.375,1,1593;3090;4595;6093;7593;9094;10592;12088;13603;15089;,194;191;184;180;177;172;167;164;160;155;,5.25255;5.171325;4.9818;4.8735;4.792275;4.6569;4.521525;4.4403;4.332;4.196625;,5.3775;,3.375;,
10/19/2023 2:31:24 PM,Hultine Cottonwood,70,1,,4930,4930,-2.252,3.89E-05,0.4458836,0.025476,14.09,,f,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1699,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.01741328859759,8.42859902492998E-05,0.000498513774901508,0.991222106163382,0.0001,2.27E-05,5.3775,3.375,1,1595;3094;4597;6090;7595;9092;10597;12095;13594;15096;,145;141;137;134;132;129;123;122;117;115;,3.925875;3.817575;3.709275;3.62805;3.5739;3.492675;3.330225;3.30315;3.167775;3.113625;,5.3775;,3.375;,
10/19/2023 2:31:45 PM,Hultine Cottonwood,70,1,,4930,4930,-2.252,3.72E-05,0.4261748,0.005815,17.89,,f,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1699,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0166435925411155,-0.00401869968320971,0.000113780445310957,0.997791417683911,0.0001,2.27E-05,5.3775,3.375,1,1597;3095;4596;6094;7595;9091;10593;12094;13597;15093;,195;190;185;180;175;171;168;164;160;156;,5.279625;5.14425;5.008875;4.8735;4.738125;4.629825;4.5486;4.4403;4.332;4.2237;,5.3775;,3.375;,
10/19/2023 2:32:25 PM,Hultine Cottonwood,70,1,,5230,5230,-2.535,2.16E-05,0.2471023,0.00749,52.39,,g,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1912,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.0108603946302373,0.00110827908317186,0.000164949349805563,0.99252220423652,0.0001,2.27E-05,5.3775,3.375,1,1593;3094;4590;6089;7591;9092;10593;12089;13595;15091;,196;193;191;187;184;181;178;174;174;170;,5.3067;5.225475;5.171325;5.063025;4.9818;4.900575;4.81935;4.71105;4.71105;4.60275;,5.3775;,3.375;,
10/19/2023 2:32:42 PM,Hultine Cottonwood,70,1,,5230,5230,-2.535,1.98E-05,0.2272187,0.004756,56.22,,g,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1912,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00998649022976793,0.00261601688196803,0.000104728264507262,0.992285474679775,0.0001,2.27E-05,5.3775,3.375,1,1598;3101;4601;6101;7602;9100;10609;12100;13601;,160;159;156;153;151;149;146;145;143;,4.332;4.304925;4.2237;4.142475;4.088325;4.034175;3.95295;3.925875;3.871725;,5.3775;,3.375;,
10/19/2023 2:33:01 PM,Hultine Cottonwood,70,1,,5230,5230,-2.535,1.87E-05,0.2136251,0.007475,58.84,,g,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.1912,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00938903917515056,0.00147251447847869,0.000164615119516733,0.990043782514405,0.0001,2.27E-05,5.3775,3.375,1,1587;3088;4593;6093;7591;9090;10593;12089;13592;15091;,135;133;132;129;128;127;125;122;121;119;,3.655125;3.600975;3.5739;3.492675;3.4656;3.438525;3.384375;3.30315;3.276075;3.221925;,5.3775;,3.375;,
10/19/2023 2:33:39 PM,Hultine Cottonwood,70,1,,5430,5430,-2.732,1.41E-05,0.1610525,0.004071,68.97,,h,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.2061,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00763014295626206,0.00080185513558918,9.66450683960324E-05,0.99113460309904,0.0001,2.27E-05,5.3775,3.375,1,1588;3089;4591;6086;7590;9086;10586;12089;13590;15086;,198;196;194;192;190;186;185;183;182;179;,5.36085;5.3067;5.25255;5.1984;5.14425;5.03595;5.008875;4.954725;4.92765;4.846425;,5.3775;,3.375;,
10/19/2023 2:33:58 PM,Hultine Cottonwood,70,1,,5430,5430,-2.732,1.24E-05,0.1425255,0.010754,72.54,,h,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.2061,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00675239118384815,-0.00768265472730322,0.000255269938901215,0.970714094534763,0.0001,2.27E-05,5.3775,3.375,1,1600;3098;4599;6101;7600;9097;10599;12098;13599;15097;,174;170;170;167;166;164;162;160;160;159;,4.71105;4.60275;4.60275;4.521525;4.49445;4.4403;4.38615;4.332;4.332;4.304925;,5.3775;,3.375;,
10/19/2023 2:34:17 PM,Hultine Cottonwood,70,1,,5430,5430,-2.732,1.15E-05,0.1314808,0.008422,74.67,,h,0,0,20,1.0021,Lee,rotor 1,Populus fremontii,DBG,branch,,0.2061,0.02708,AUTO_CAMERA,26,kg.m-1.Mpa-1.s-1,-0.00622913238828071,0.00217060124120141,0.000199909188985641,0.972976704012333,0.0001,2.27E-05,5.3775,3.375,1,1595;3095;4602;6097;7594;9095;10595;12092;13596;15091;,152;152;149;148;147;145;145;142;141;141;,4.1154;4.1154;4.034175;4.0071;3.980025;3.925875;3.925875;3.84465;3.817575;3.817575;,5.3775;,3.375;,
