"Population","Popn.Geno","Tree.No","Rep.No","bayes.tree.no","ID","estimate_P12","estimate_P50","c","b","conf.low_P12","conf.low_P50","conf.low_c","conf.low_b","conf.high_P12","conf.high_P50","conf.high_c","conf.high_b"
"CCR-COL","CCR5","61","1",1,"CCR5-61-1",2.3047162716776,2.65749889503783,11.869271752423,2.74084031264396,2.22815343543382,2.59794776372985,11.0096376719712,2.68588961507217,2.37954562442175,2.71684506576037,12.752658549904,2.7960603918595
"CCR-COL","CCR5","61","2",2,"CCR5-61-2",2.10626161030529,2.45727416100017,10.9675372076374,2.54077880269645,2.02165284216929,2.38872762298282,10.1322205464957,2.4767169170957,2.18729978812078,2.52237921554055,11.860366515457,2.60154348233066
"CCR-COL","CCR5","63","1",3,"CCR5-63-1",1.8506401612252,2.1983768346435,9.81786149564012,2.28199605628872,1.7704192301935,2.13473138378154,9.03417332436937,2.22311738145955,1.92998640896977,2.26321063503295,10.6140455033761,2.34272639123654
"CCR-COL","CCR5","63","2",4,"CCR5-63-2",2.49233289109969,2.84698212638965,12.7067816103028,2.93029591587369,2.41000789699632,2.78172570803634,11.7853974709265,2.86959353803708,2.57468147997498,2.91363518105585,13.66893468101,2.99281696756346
"CCR-COL","CCR5","63","3",5,"CCR5-63-3",2.49977721295261,2.854181538667,12.7505652578952,2.93741505786424,2.42367230806656,2.79490198885422,11.8621652019173,2.8826058102187,2.57563162480237,2.91386740697125,13.7009799960808,2.99286780260902
"CCR-COL","CCR149","46","1",6,"CCR149-46-1",2.29034844001723,2.64281265302189,11.8102365422223,2.72611425164775,2.22157048432571,2.59092045052984,10.9917270016782,2.67876973049539,2.35869675092821,2.69554761731807,12.6637773679507,2.77470161007836
"CCR-COL","CCR149","47","1",7,"CCR149-47-1",2.23455801695634,2.58661294380999,11.5546646997821,2.66997520496468,2.16241758319048,2.53109721442038,10.7384692837257,2.61897684693605,2.3046005769369,2.64122104469823,12.3998073294527,2.72045536534779
"CCR-COL","CCR149","48","1",8,"CCR149-48-1",2.11569957901759,2.46644316253863,11.0209102867665,2.54984669131055,2.04135229669422,2.40830543652092,10.226276072029,2.49618526716051,2.19019885467504,2.52536828850833,11.8720450602839,2.60454719070065
"CCR-COL","CCR152","49","1",9,"CCR152-49-1",1.66787417775475,2.0126305724591,8.99723278322197,2.0963102842214,1.59666757182214,1.9568474827639,8.31062559672816,2.04507911478847,1.73833499340106,2.06829238434097,9.72702963503457,2.14771217678163
"CCR-COL","CCR152","49","2",10,"CCR152-49-2",1.86310635150352,2.21100109500929,9.87448916754621,2.29460920888364,1.77932981182113,2.14211160049007,9.11057152227945,2.23004436996455,1.94645623505846,2.27876297736707,10.7250961290959,2.35798191991311
"CCR-COL","CCR152","49","3",11,"CCR152-49-3",1.7314656533035,2.07753791131426,9.2775700594821,2.16125434242545,1.6495988265761,2.01145363325106,8.52393867945255,2.09982862092298,1.81266175184163,2.14422707472496,10.0636177979466,2.22375842338715
"CCR-COL","CCR152","51","1",12,"CCR152-51-1",2.19996663391677,2.55144557418395,11.4056046342364,2.63476646021321,2.12972520533387,2.49682965146447,10.6302407571932,2.58441742494607,2.26899473453178,2.60409889958575,12.272355407178,2.68304306978301
"CCR-COL","CCR155","58","1",13,"CCR155-58-1",2.15023971591431,2.50121696825182,11.1807957497068,2.5845669670715,2.0828635921962,2.4499528309596,10.4143767699825,2.53770910923419,2.21854862804329,2.55358716236127,12.0196525252866,2.63265253399776
"CCR-COL","CCR155","59","1",14,"CCR155-59-1",1.93940738944264,2.28827661652854,10.2197461918505,2.37183087186601,1.83520098040698,2.19894388693622,9.3489928368352,2.2868621996648,2.03619693345894,2.36960476983821,11.1482582909647,2.44880322817367
"CCR-COL","CCR155","60","1",15,"CCR155-60-1",2.26806943927417,2.62059937840336,11.7011644300203,2.70398290291541,2.18995507036299,2.55959542549122,10.838843626395,2.64762754074048,2.34633109917926,2.68344816830303,12.5923143882842,2.7627005965137
"CCR-COL","CCR156","44","1",16,"CCR156-44-1",3.13499721604512,3.49341591400788,15.6165127199341,3.57637459632226,3.0604808443714,3.43627514489131,14.5965514819292,3.52365087877825,3.20623625705637,3.5481157236527,16.6850815828208,3.62691775782518
"CCR-COL","CCR156","44","2",17,"CCR156-44-2",2.8787065274619,3.23592423918525,14.4521151673042,3.31903836136158,2.79527140181904,3.16999144510368,13.438147576221,3.25763983091309,2.96225405496605,3.30339512370898,15.5092693929308,3.38239022721313
"CCR-COL","CCR156","45","1",18,"CCR156-45-1",2.44605436158254,2.79957166775026,12.5232433815171,2.88271639669561,2.37733206401657,2.7476136466242,11.6785441573436,2.83521057897758,2.51880425138287,2.85646240032967,13.4381511986056,2.9354418721791
"CCR-COL","CCR156","45","2",19,"CCR156-45-2",2.0405529952438,2.390080992837,10.6922595136727,2.47342936569503,1.97332157830241,2.33919046066995,9.93913477966757,2.42706000305923,2.10560423418267,2.43991154723939,11.4720588506611,2.51912117334878
"CCR-COL","CCR156","45","3",20,"CCR156-45-3",2.07430440134677,2.4249269999462,10.8244517802213,2.50844024118393,1.98674254829638,2.35331369967673,9.98366720551653,2.44131217569697,2.15793580899379,2.49286196907609,11.7169583855959,2.57207248195446
"JLA-JAK","JLA153","69","1",21,"JLA153-69-1",2.19284246774415,2.54493449574361,11.3528774220269,2.62843500530466,2.11596826709721,2.48546862446459,10.5034378447526,2.57372892405136,2.26679319007709,2.60389140449517,12.1934795818791,2.68334762188887
"JLA-JAK","JLA153","76","1",22,"JLA153-76-1",2.373378202699,2.72704567237463,12.1703372406268,2.8104204994086,2.30140597112582,2.67168323771444,11.3314031965657,2.75951125842198,2.44456526905519,2.78211171566041,13.0700187115354,2.86123260772243
"JLA-JAK","JLA153","90","1",23,"JLA153-90-1",2.28805061504064,2.64130766386899,11.7745245856218,2.72481828422531,2.20895658500205,2.57915871264506,10.9105592638032,2.66727075794236,2.36383362322817,2.70150482746554,12.6607324846183,2.78085310796073
"JLA-JAK","JLA155","62","1",24,"JLA155-62-1",2.36994217002906,2.72389170841679,12.1448444630345,2.80734756580617,2.28574914305988,2.65590525584459,11.2632098996077,2.74375186005231,2.45641957937073,2.79417772748156,13.1217488383119,2.87332409862216
"JLA-JAK","JLA155","64","1",25,"JLA155-64-1",1.81368323361491,2.16117814245635,9.64389365725206,2.2448937024667,1.7348371288784,2.0979491502011,8.89525782967514,2.18619688854821,1.89329609237436,2.22572347903042,10.4505811964639,2.30516689182841
"JLA-JAK","JLA155","66","1",26,"JLA155-66-1",2.19654812292883,2.54876747750442,11.3668828677485,2.63228904071873,2.11687110070084,2.48549967113892,10.5305311430314,2.57353001672871,2.27345082466545,2.60991590767203,12.2484081626078,2.68919343948989
"JLA-JAK","JLA156","71","1",27,"JLA156-71-1",2.2441692446492,2.59696614198907,11.5781947604485,2.68048927022208,2.16101597236881,2.52987818813263,10.7271141290289,2.61781007348201,2.32661816679045,2.66340142406334,12.5048935570634,2.74261980325421
"JLA-JAK","JLA156","74","1",28,"JLA156-74-1",2.41579664332849,2.77004815655404,12.354348835264,2.85345750325852,2.34208700389109,2.7134185248301,11.487060082972,2.80139043703004,2.49311521489448,2.83163163976248,13.2776758890329,2.910883932831
"JLA-JAK","JLA156","75","1",29,"JLA156-75-1",2.17503014359116,2.5272137725986,11.2644737069802,2.61079425132218,2.08370229253231,2.45236616182301,10.3771716850857,2.54052942008951,2.26155886716124,2.5983305406628,12.178202439555,2.6777180380439
"JLA-JAK","JLA156","75","2",30,"JLA156-75-2",2.32446895254309,2.67812747095482,11.9364513776306,2.76163582871835,2.2449703543214,2.61552073301601,11.065685836519,2.70360152881716,2.40364033894778,2.74153889114163,12.8522040009823,2.82084621692064
